temperature,ph,dissolved_oxygen,pressure,agitator_speed
25.12,7.011,88.15,5.151,260.1
24.77,6.951,87.75,5.055,261.8
24.94,6.99,86.67,5.127,258.0
24.98,6.993,87.01,5.139,262.1
24.99,7.019,87.52,5.076,263.9
25.04,7.038,88.04,5.098,262.1
25.02,6.948,87.23,5.112,263.3
25.11,6.938,87.14,5.174,258.7
24.8,7.025,85.68,5.214,263.1
25.01,7.04,85.87,5.112,259.9
24.89,6.986,87.26,5.107,261.4
25.19,7.005,86.58,5.096,257.9
24.98,7.0,86.37,5.223,254.8
24.98,7.008,87.44,5.142,256.6
25.11,7.0,86.61,5.152,261.9
24.9,7.007,86.7,5.279,257.1
25.15,7.047,88.05,5.179,262.4
24.89,7.003,87.51,5.249,259.5
25.13,6.994,87.09,5.222,263.9
25.06,7.011,87.92,5.152,257.8
25.22,6.997,86.57,5.108,260.5
25.38,7.063,87.94,5.084,259.2
24.86,6.992,87.87,5.19,258.4
24.9,7.013,86.32,5.172,260.2
25.11,6.97,88.16,5.196,255.5
24.93,6.931,87.77,5.254,260.6
24.96,6.972,87.86,5.167,258.7
24.79,6.988,87.44,5.196,262.1
25.1,7.016,88.06,5.156,254.9
24.91,7.025,87.56,5.133,261.8
24.99,7.001,87.74,5.186,261.6
24.9,6.981,86.24,5.132,257.0
24.93,7.034,87.07,5.183,259.3
25.04,6.976,87.01,5.192,261.0
25.16,7.014,85.47,5.109,262.3
25.16,7.006,86.92,5.087,261.2
25.12,7.021,88.95,5.087,260.4
24.99,6.976,86.36,5.135,262.0
24.94,6.975,88.1,5.128,263.1
24.83,6.964,88.34,5.215,257.2
24.99,7.015,86.38,5.103,258.3
24.93,6.973,86.46,5.09,262.9
24.82,6.932,89.46,5.164,259.7
24.92,7.015,88.16,5.1,257.4
24.74,7.03,86.43,5.14,258.3
24.73,7.007,87.78,5.057,261.0
25.15,6.977,88.18,5.207,262.9
24.8,7.004,87.72,5.114,260.5
24.89,7.045,87.62,5.085,264.1
24.88,7.017,88.18,5.105,268.3
24.89,7.011,88.7,5.05,258.4
25.09,6.996,87.72,5.143,259.5
25.28,6.998,86.7,5.194,260.8
24.94,6.974,86.08,5.048,259.5
25.0,7.002,87.82,5.315,258.6
25.11,7.027,87.84,5.151,263.5
25.07,7.003,89.35,5.163,260.3
24.9,6.994,88.06,5.09,260.1
24.97,6.959,88.53,5.167,263.1
25.03,7.027,87.76,5.195,263.8
