temperature,ph,dissolved_oxygen,pressure,agitator_speed
25.02,6.957,87.05,5.168,256.5
24.65,6.947,88.18,5.21,260.8
25.05,7.033,86.29,5.087,254.0
24.96,6.993,87.87,5.073,261.0
24.99,6.992,87.51,5.188,254.1
25.05,6.999,87.74,5.231,256.4
25.01,6.992,87.47,5.181,261.3
24.96,7.015,87.91,5.158,258.1
25.13,6.997,87.19,5.124,258.4
25.29,7.022,87.49,5.14,260.8
25.05,7.028,86.47,5.141,259.0
25.07,6.974,87.25,5.074,266.7
24.98,6.997,89.54,5.115,253.6
25.27,7.053,88.6,5.199,265.2
24.83,6.932,87.12,5.219,261.5
24.97,7.015,88.44,5.161,260.7
25.14,7.003,86.97,5.105,259.4
24.98,7.031,88.11,5.154,260.4
25.2,7.016,88.41,5.135,262.0
25.0,6.978,86.21,5.165,263.2
25.18,7.008,87.54,5.091,260.5
24.89,6.983,86.72,5.135,259.3
24.8,7.012,87.6,5.213,263.1
25.02,7.04,87.08,5.049,259.8
24.94,6.966,86.35,5.222,256.8
24.93,6.988,87.83,5.175,263.8
24.75,6.988,86.75,5.165,257.9
24.96,7.041,87.23,5.132,263.3
25.2,6.938,86.99,5.053,261.0
24.87,6.971,87.94,5.213,261.3
24.75,6.983,86.32,5.266,259.7
24.8,7.01,89.35,5.121,256.1
25.03,7.019,88.09,5.256,255.6
25.08,6.98,86.13,5.142,262.0
25.08,6.996,88.3,5.15,262.5
25.02,7.003,86.69,5.163,260.9
25.19,7.012,86.69,5.206,261.7
25.09,6.975,87.27,5.137,257.8
25.0,6.956,86.44,5.191,256.1
25.28,6.999,86.84,5.191,256.6
25.16,6.964,88.36,5.118,257.3
25.2,7.033,87.06,5.136,256.0
24.95,7.017,87.15,5.129,255.1
25.08,6.977,88.08,5.215,259.1
24.9,6.995,87.49,5.102,258.4
24.64,7.01,87.01,5.217,258.1
25.02,7.008,87.51,5.216,259.7
25.0,7.011,87.41,5.181,257.0
25.08,6.948,87.24,5.104,258.0
24.99,6.999,87.67,5.079,264.8
24.99,6.989,87.03,5.195,256.5
24.97,7.01,87.05,5.104,256.7
25.09,7.002,88.32,5.197,263.9
24.76,7.02,86.64,5.096,257.0
24.95,7.033,87.98,5.184,255.0
25.28,7.009,88.4,5.167,260.4
24.8,6.996,85.14,5.127,255.8
25.03,7.011,87.21,5.153,258.4
25.19,6.966,87.81,5.053,261.2
25.02,6.99,87.64,5.176,259.0
