temperature,ph,dissolved_oxygen,pressure,agitator_speed
25.24,7.031,87.05,5.13,260.7
24.8,7.019,86.53,5.136,254.9
24.96,7.011,87.82,5.135,251.3
24.84,6.986,88.0,5.125,261.4
25.0,6.975,88.46,5.18,259.9
25.09,7.057,87.66,5.101,262.8
24.7,7.007,88.53,5.179,261.2
24.89,6.975,87.79,5.096,266.5
25.03,7.049,88.84,5.174,264.6
25.13,7.019,87.72,5.146,262.4
25.03,6.965,87.99,5.159,255.9
25.12,6.978,86.79,5.193,253.2
25.44,6.971,89.55,5.079,259.0
24.77,6.974,87.1,5.176,257.5
25.13,6.982,89.04,5.163,259.7
25.0,7.022,86.21,5.19,257.7
25.05,7.018,86.34,5.133,257.9
24.96,7.048,89.23,5.269,259.9
24.94,6.998,87.69,5.212,263.2
24.83,7.052,88.62,5.117,257.5
25.02,6.969,87.32,5.147,266.1
25.16,6.953,88.17,5.116,262.2
25.24,7.041,87.48,5.235,261.1
25.11,7.039,88.15,5.211,257.9
24.93,6.982,87.87,5.143,260.0
25.19,6.984,86.99,5.129,259.2
25.15,7.01,86.03,5.102,253.1
25.07,7.008,85.38,5.137,257.0
24.85,6.965,87.48,5.181,258.3
25.17,7.027,87.74,5.222,265.5
24.81,7.012,88.06,5.192,265.5
24.93,7.015,87.25,5.208,255.8
24.9,7.019,88.07,5.128,259.6
25.21,6.968,87.48,5.08,262.2
24.97,6.968,88.09,5.135,259.5
25.15,7.036,87.51,5.111,260.3
24.84,7.01,86.62,5.12,258.4
25.12,7.008,87.28,5.171,259.0
25.08,7.028,88.06,5.147,264.8
25.08,6.984,87.48,5.201,257.5
24.97,6.987,87.31,5.14,259.8
25.19,7.069,87.42,5.188,266.1
25.05,6.992,88.01,5.162,262.3
25.0,6.957,87.21,5.11,261.3
24.75,6.979,87.54,5.163,252.9
25.12,7.007,87.25,5.135,253.5
25.02,6.994,88.38,5.154,266.2
24.89,6.978,89.37,5.169,257.1
25.03,7.015,87.3,5.167,255.9
24.99,7.012,87.45,5.207,262.3
25.05,7.014,86.45,5.11,260.4
24.86,7.003,87.59,5.171,255.3
25.17,7.02,88.34,5.167,264.0
24.66,6.948,86.7,5.021,260.3
25.0,7.006,85.06,5.165,257.1
24.83,7.009,86.28,5.147,257.3
24.84,7.05,87.47,5.211,260.5
25.22,6.937,87.87,5.137,261.7
25.03,7.0,87.46,5.244,261.6
25.0,7.011,87.33,5.162,257.1
25.1,7.016,88.7,5.115,256.1
24.86,7.023,86.82,5.214,255.9
24.91,6.969,87.67,5.137,259.6
25.24,6.98,86.98,5.208,262.9
25.2,7.032,87.36,5.136,257.9
25.28,6.955,87.87,5.116,258.4
24.86,6.974,88.17,5.061,258.9
25.08,6.987,87.31,5.172,256.7
25.12,7.033,88.18,5.19,259.6
25.19,7.036,85.57,5.112,260.6
24.75,6.999,88.62,5.122,261.5
24.87,7.04,87.9,5.129,261.2
24.99,7.028,87.99,5.189,257.6
24.93,6.986,88.37,5.132,260.7
24.97,6.996,88.53,5.093,263.5
25.11,6.963,87.84,5.067,260.8
24.76,7.02,87.74,5.132,261.4
25.02,7.032,88.54,5.126,259.4
24.82,7.003,88.0,5.067,260.1
25.14,7.054,87.85,5.103,262.5
25.16,7.008,86.03,5.102,261.8
25.2,6.997,87.45,5.127,262.8
25.32,6.974,87.93,5.091,264.5
24.56,6.954,86.78,5.168,260.2
24.86,7.04,89.05,5.248,260.5
24.94,7.007,87.56,5.212,257.2
25.02,7.027,88.02,5.179,258.9
24.76,6.994,89.22,5.177,259.3
24.88,6.99,87.96,5.115,260.6
24.83,6.994,86.19,5.043,251.2
24.81,6.987,88.34,5.116,261.3
25.1,6.983,87.31,5.164,256.3
25.3,7.001,87.83,5.147,263.9
24.86,7.02,86.38,5.14,254.1
25.0,6.975,87.59,5.114,261.2
24.96,7.014,87.76,5.164,263.1
