temperature,ph,dissolved_oxygen,pressure,agitator_speed
24.95,7.008,87.13,5.137,257.3
25.02,6.994,87.06,5.169,259.8
25.2,7.019,89.08,5.14,260.8
24.92,7.008,88.13,5.152,261.8
24.95,7.028,86.85,5.231,260.8
24.93,6.952,87.32,5.267,261.6
24.85,6.987,86.08,5.211,256.8
24.97,7.018,87.35,5.039,261.5
25.14,6.956,87.77,5.127,258.3
24.84,7.082,87.48,5.078,263.3
24.9,7.023,87.18,5.048,260.4
24.9,7.066,88.27,5.086,259.1
24.89,6.931,87.34,5.082,255.6
25.06,6.996,86.47,5.197,259.4
25.41,6.937,87.44,5.099,257.2
24.97,7.016,86.2,5.171,262.6
25.01,6.982,87.5,5.086,261.4
25.12,7.012,87.27,5.004,261.3
24.93,7.051,85.96,5.214,264.6
24.91,7.02,89.28,5.1,264.5
24.89,6.964,86.44,5.203,266.0
24.96,7.011,86.96,5.152,265.0
24.69,7.016,85.43,5.149,266.9
25.03,6.987,88.78,5.09,257.7
24.76,7.018,87.98,5.114,259.3
24.82,6.982,86.66,5.137,258.4
24.76,7.033,88.06,5.221,256.7
25.05,6.997,88.79,5.174,262.4
25.14,7.018,88.4,5.175,258.5
25.0,7.024,87.96,5.203,258.3
24.92,6.987,87.53,5.13,264.1
24.97,6.949,88.37,5.166,262.7
25.1,6.943,87.35,5.18,258.9
24.84,7.069,86.11,5.223,259.9
25.24,6.993,87.64,5.275,263.6
25.06,7.003,88.68,5.086,258.9
25.05,6.972,85.76,5.155,258.6
25.07,6.967,87.48,5.088,259.3
24.91,7.025,88.45,5.113,260.7
24.94,6.987,87.26,5.174,264.2
24.99,6.958,87.1,5.169,263.1
24.86,7.066,87.94,5.163,260.4
24.74,7.042,87.26,5.184,258.5
24.79,7.034,87.35,5.093,261.8
25.1,7.011,87.57,5.113,261.9
24.9,7.008,88.14,5.151,263.2
24.89,6.919,86.77,5.178,260.2
24.87,6.986,88.72,5.24,263.2
25.07,7.019,86.98,5.142,265.5
25.25,6.959,87.55,5.231,259.5
24.95,6.951,89.16,5.138,259.6
25.23,7.0,87.6,5.09,264.8
24.99,7.073,88.71,5.087,258.1
24.99,7.005,87.49,5.17,254.3
24.72,6.991,86.9,5.112,260.4
24.8,7.034,86.99,5.048,262.1
24.97,6.982,86.42,5.137,257.0
25.04,6.995,86.49,5.211,264.4
24.97,6.985,87.77,5.067,261.8
25.18,7.047,87.68,5.089,260.5
