temperature,ph,dissolved_oxygen,pressure,agitator_speed
24.78,7.019,86.31,5.137,261.3
24.91,7.036,86.76,5.217,262.5
25.05,7.08,86.12,5.119,260.9
24.97,7.003,85.82,5.129,261.6
24.98,7.027,86.43,5.191,257.1
24.9,6.983,83.62,5.099,241.9
24.86,6.993,82.57,5.161,264.0
25.0,6.996,84.09,5.182,250.7
24.96,6.985,81.43,5.149,253.9
24.96,6.952,83.41,5.126,249.0
24.94,7.019,82.07,5.078,251.9
25.09,7.008,80.03,5.139,242.9
24.63,7.007,81.22,5.158,246.8
25.14,6.98,82.46,5.079,253.4
25.05,7.013,82.09,5.18,255.3
24.97,7.001,81.94,5.112,242.4
25.04,7.022,80.95,5.147,244.0
25.1,7.011,80.26,5.214,242.9
25.08,7.039,82.06,5.213,242.0
25.25,6.967,82.27,5.133,252.5
24.94,6.992,83.2,5.133,248.8
25.28,7.045,82.5,5.065,254.4
25.29,7.028,80.88,5.092,245.0
25.07,6.98,81.51,5.2,245.2
25.02,6.951,82.32,5.205,249.6
25.03,7.076,83.23,5.101,248.9
24.97,6.98,82.32,5.163,250.0
25.1,7.003,83.14,5.097,255.1
24.7,6.991,80.82,5.121,249.4
25.0,7.058,81.28,5.163,248.4
24.93,7.02,81.47,5.113,247.3
24.82,6.986,82.6,5.132,245.9
24.9,7.001,81.13,5.088,241.4
25.05,6.999,81.65,5.099,245.7
24.86,6.982,83.06,5.086,248.0
24.94,6.983,82.45,5.212,246.8
25.21,7.022,83.07,5.155,249.1
25.07,6.979,79.55,5.148,250.9
25.35,6.997,82.84,5.073,248.4
25.05,7.022,83.11,5.226,249.1
25.42,7.02,81.88,5.07,242.1
25.12,7.034,81.06,5.085,249.6
25.02,6.99,81.66,5.13,247.0
24.99,7.016,81.04,5.09,245.1
24.86,7.008,82.48,5.112,243.6
25.02,7.01,84.68,5.204,240.1
24.96,7.047,83.1,5.104,251.0
24.95,7.01,81.13,5.141,245.6
25.17,7.016,82.11,5.112,248.0
24.91,7.027,81.88,5.121,246.4
24.96,6.992,82.56,5.121,244.2
24.85,7.042,80.67,5.208,243.4
25.05,7.011,81.69,5.184,249.2
25.02,7.011,82.98,5.096,255.0
25.18,6.974,80.51,5.269,238.8
25.12,6.993,82.91,5.147,244.0
24.6,6.954,82.59,5.117,243.5
24.81,7.01,83.54,5.135,244.0
25.06,6.995,82.15,5.138,245.1
25.0,6.985,82.72,5.246,254.8
