temperature,ph,dissolved_oxygen,pressure,agitator_speed
24.91,6.99,89.27,5.125,255.7
25.05,7.005,88.05,5.132,264.5
25.09,7.078,87.97,5.164,264.4
25.14,6.977,88.17,5.117,263.8
24.92,7.012,86.88,5.168,264.3
25.18,6.981,86.43,5.187,258.0
24.89,7.022,86.52,5.192,263.3
25.01,6.973,87.34,5.227,260.6
25.25,7.003,87.66,5.161,260.5
26.69,6.785,83.47,5.144,257.2
28.12,6.464,74.75,5.151,257.7
30.24,6.229,70.09,5.171,260.0
31.68,6.007,68.25,5.116,260.8
33.04,5.732,59.21,5.182,255.0
34.83,5.519,56.07,5.071,262.5
36.24,5.266,49.95,5.25,258.3
37.96,5.012,43.48,5.127,259.4
38.05,4.987,46.91,5.249,263.8
38.0,5.026,47.23,5.241,262.1
37.9,5.047,45.86,5.156,259.7
37.74,4.943,43.69,5.167,260.7
37.86,4.992,46.51,5.091,258.8
37.77,5.079,44.63,5.223,262.4
37.88,5.026,45.25,5.176,260.7
38.13,5.025,44.22,5.19,257.7
37.75,4.986,44.09,5.117,256.8
38.17,5.035,44.35,5.218,259.8
37.86,4.961,45.45,5.146,260.8
38.58,5.038,44.93,5.096,258.8
37.87,4.976,42.53,5.158,256.7
38.44,4.991,46.0,5.168,257.7
38.05,4.984,44.61,5.148,254.1
38.28,5.023,44.85,5.221,257.0
37.5,5.011,44.1,5.146,258.3
37.95,4.961,44.93,5.187,261.1
38.34,5.023,45.43,5.16,261.6
37.97,4.949,43.86,5.058,259.2
38.02,5.018,46.16,5.126,253.4
37.86,4.998,42.97,5.086,256.5
38.39,5.042,44.22,5.124,260.2
38.04,5.007,43.74,5.099,264.1
37.99,5.04,44.96,5.162,260.8
37.94,5.047,45.87,5.146,260.4
38.31,4.962,45.86,5.207,264.8
38.29,4.968,45.86,5.132,262.5
38.03,5.035,44.3,5.159,261.6
38.11,5.036,46.93,5.103,260.2
37.67,5.025,46.68,5.16,263.6
38.4,5.017,45.96,5.198,257.7
37.76,4.985,44.09,5.181,253.2
37.6,4.927,45.21,5.136,259.4
37.92,4.98,44.15,5.159,259.3
38.05,4.996,45.07,5.151,266.2
38.4,5.044,43.01,5.18,264.2
38.09,4.94,44.66,5.282,259.4
37.71,4.992,46.02,5.153,256.4
37.56,5.007,43.19,5.197,263.5
38.07,4.999,44.85,5.136,257.7
37.81,4.961,46.63,5.241,260.1
38.11,4.987,45.13,5.218,263.0
38.2,5.028,45.86,5.114,262.2
37.66,5.008,45.36,5.171,254.1
38.19,4.951,42.39,5.142,259.7
37.67,5.011,44.82,5.146,256.0
38.15,5.002,44.73,5.09,257.7
37.94,4.927,44.13,5.213,259.5
37.99,4.983,45.85,5.199,260.7
37.91,5.028,45.98,5.141,261.6
38.11,5.034,45.17,5.12,260.4
37.93,5.0,46.55,5.194,260.1
38.08,5.023,45.46,5.131,258.8
37.58,5.002,47.07,5.113,264.7
