temperature,ph,dissolved_oxygen,pressure,agitator_speed
25.12,7.033,88.11,5.219,257.7
24.91,6.971,86.8,5.209,261.0
24.87,6.975,88.45,5.094,258.5
25.08,7.038,88.55,5.125,256.2
24.83,7.013,87.67,5.211,262.6
25.17,6.969,86.63,5.15,261.3
24.89,7.04,86.18,5.145,257.3
25.06,7.015,87.23,5.168,263.9
24.89,6.977,86.69,5.131,256.9
24.73,7.019,86.48,5.031,261.4
24.8,7.014,88.32,5.094,256.2
25.16,6.946,86.45,5.106,257.4
25.18,6.992,85.99,5.22,261.7
24.97,7.199,88.19,5.186,258.0
24.99,7.319,88.02,5.137,255.8
25.07,7.397,88.31,5.186,262.7
25.01,7.536,87.15,5.168,261.3
25.06,7.62,87.85,5.143,256.9
25.0,7.805,87.12,5.229,261.0
25.16,7.936,86.09,5.057,261.4
24.93,8.018,87.91,5.167,260.7
24.86,8.223,85.71,5.199,258.4
25.12,8.302,87.72,5.221,258.0
24.68,8.273,85.55,5.113,257.4
25.06,8.273,87.73,5.071,260.7
24.96,8.336,89.31,5.184,262.6
24.86,8.273,88.95,5.064,259.1
25.07,8.337,87.05,5.15,261.6
25.2,8.303,87.3,5.213,263.1
24.92,8.314,87.41,5.154,255.0
25.04,8.297,86.48,5.147,257.2
24.9,8.288,89.21,5.206,256.8
25.18,8.287,88.58,5.187,264.0
25.15,8.284,87.06,5.161,260.9
25.18,8.397,87.73,5.253,261.8
25.1,8.264,87.63,5.186,259.5
24.9,8.303,88.45,5.198,258.2
25.15,8.294,87.18,5.222,261.5
25.03,8.3,85.03,5.198,264.5
24.61,8.198,87.11,5.203,261.2
25.09,8.268,86.69,5.17,256.0
25.19,8.328,87.4,5.11,264.9
24.99,8.228,86.76,5.049,262.4
24.82,8.297,87.83,5.213,255.4
25.09,8.281,87.37,5.035,260.2
25.03,8.313,88.0,5.11,255.0
25.1,8.246,89.62,5.132,253.7
25.13,8.294,86.91,5.124,259.1
24.78,8.342,88.49,5.154,257.8
25.05,8.344,87.88,5.139,261.2
24.82,8.334,88.73,5.192,262.9
25.08,8.249,88.67,5.214,256.9
24.96,8.333,87.93,5.097,256.8
24.82,8.314,88.24,5.193,259.2
25.05,8.282,88.44,5.155,259.2
25.2,8.301,87.28,5.102,260.0
25.24,8.258,88.48,5.095,257.6
25.17,8.264,87.29,5.132,264.2
25.09,8.282,87.21,5.173,258.0
25.11,8.347,88.14,5.1,264.5
