temperature,ph,dissolved_oxygen,pressure,agitator_speed
25.16,6.996,87.25,5.07,260.3
25.06,6.988,87.25,5.072,264.2
25.05,6.989,87.99,5.168,260.3
24.97,7.002,87.88,5.192,262.6
25.06,7.028,87.36,5.07,255.5
25.13,6.95,86.84,5.15,262.9
24.68,6.965,86.83,5.112,260.0
25.12,7.019,89.79,5.23,255.8
24.77,6.992,87.24,5.205,261.9
25.12,7.0,87.87,5.17,259.3
25.09,6.957,88.28,5.181,268.8
24.99,6.952,86.97,5.139,257.6
24.81,6.984,86.34,5.207,255.3
25.09,6.929,87.84,5.219,261.2
25.13,6.745,86.48,5.122,260.4
25.15,6.62,86.95,5.108,262.3
24.91,6.603,87.18,5.11,257.7
24.73,6.344,86.99,5.109,266.3
25.06,6.374,87.58,5.138,255.4
24.8,6.285,87.08,5.125,262.2
24.96,6.109,89.13,5.168,258.8
24.94,5.981,87.79,5.178,258.2
24.96,5.836,87.24,5.185,257.0
24.98,5.871,87.1,5.164,257.0
25.17,5.951,88.46,5.104,254.2
24.91,5.905,87.46,5.14,260.0
24.94,5.925,86.33,5.168,261.5
24.91,6.045,87.72,5.163,256.3
25.04,5.908,88.4,5.125,263.3
24.8,5.9,86.05,5.149,262.3
24.77,5.927,87.87,5.069,257.0
24.92,5.92,88.61,5.116,257.0
24.94,5.793,87.86,5.142,259.0
25.2,5.888,86.89,5.2,258.6
25.0,5.887,87.47,5.16,260.9
24.82,5.951,87.18,5.129,262.5
24.93,5.918,88.4,5.195,258.7
25.15,5.892,86.88,5.109,261.0
24.9,5.952,88.16,5.179,263.4
25.14,5.87,89.48,5.077,260.5
24.73,5.889,87.15,5.082,261.6
25.02,5.9,86.68,5.22,259.4
25.11,5.842,88.64,5.133,262.9
24.94,5.898,87.88,5.148,266.4
24.98,5.89,88.38,5.16,257.3
24.96,5.93,87.58,5.208,256.6
25.05,5.872,87.24,5.121,257.6
25.36,5.907,88.15,5.17,265.9
24.92,5.852,88.03,5.105,264.5
24.87,5.891,88.06,5.097,259.2
25.05,5.845,87.45,5.082,259.6
25.25,5.955,87.37,5.141,257.9
25.12,5.929,86.43,5.105,256.3
25.03,5.91,87.63,5.182,261.8
25.0,5.922,87.12,5.188,263.2
24.69,5.964,87.45,5.187,260.2
25.23,5.9,87.83,5.124,260.1
25.07,5.863,87.38,5.123,260.3
25.15,5.906,88.54,5.118,259.0
24.98,5.866,87.81,5.115,257.8
