temperature,ph,dissolved_oxygen,pressure,agitator_speed
25.29,6.985,87.43,5.114,257.7
25.21,7.002,87.36,5.203,265.5
25.16,7.03,86.95,5.213,262.6
24.85,6.979,87.95,5.099,257.1
24.86,7.018,86.9,5.141,261.7
25.18,7.033,88.14,5.18,254.7
25.0,7.031,88.16,5.129,262.0
24.99,7.005,87.31,5.105,255.3
24.8,6.987,89.8,5.064,261.6
25.16,7.028,87.69,5.168,261.4
24.96,6.991,87.56,5.156,260.9
24.9,7.038,87.99,5.136,255.9
24.77,6.989,87.37,5.108,262.5
25.57,7.04,86.19,5.182,256.9
26.32,6.993,87.33,5.144,261.7
27.39,6.967,87.59,5.205,262.2
27.97,6.97,86.98,5.122,253.0
28.9,6.962,86.33,5.226,260.3
29.94,7.017,87.26,5.177,261.8
30.8,7.003,88.1,5.156,258.8
31.57,7.01,86.92,5.149,257.8
32.34,7.011,88.37,5.244,262.7
33.0,6.988,85.65,5.113,257.0
34.01,7.006,88.27,5.16,255.9
33.93,7.063,88.0,5.185,261.1
33.57,6.996,87.53,5.101,258.8
34.18,7.005,87.66,5.141,260.8
34.11,7.008,86.84,5.12,255.9
34.21,7.002,88.55,5.211,257.1
34.01,7.021,86.13,5.17,260.6
33.93,7.023,86.71,5.169,264.4
33.95,7.04,87.23,5.157,263.9
34.14,7.034,88.65,5.24,257.9
34.39,7.004,88.04,5.152,265.6
34.15,6.956,87.1,5.137,260.1
34.05,7.014,87.32,5.15,259.9
33.94,7.04,87.62,5.167,262.0
33.9,7.047,87.55,5.213,259.7
34.2,7.007,87.04,5.126,255.7
34.16,6.969,86.24,5.208,258.9
34.1,6.998,86.31,5.142,263.0
33.9,6.942,88.15,5.133,260.2
33.85,7.007,86.68,5.074,262.5
34.05,7.044,86.64,5.16,257.1
34.36,6.983,87.92,5.093,259.0
33.92,7.005,87.53,5.206,261.2
34.24,6.987,87.82,5.069,262.3
33.95,6.932,87.53,5.113,264.1
33.9,7.009,87.72,5.195,266.1
34.07,6.986,87.97,5.152,259.7
34.02,6.967,88.18,5.177,260.8
34.0,6.996,87.99,5.122,258.9
34.11,6.977,87.89,5.142,260.1
34.05,7.018,87.64,5.096,258.0
33.98,6.978,85.62,5.066,259.0
34.13,7.031,89.41,5.112,257.4
33.92,7.0,87.69,5.227,260.0
34.23,7.016,87.21,5.067,260.9
33.99,6.944,88.39,5.115,260.5
34.23,7.018,87.26,5.141,261.9
34.06,6.991,88.14,5.206,259.6
33.8,7.0,86.25,5.135,260.7
33.9,6.961,88.7,5.13,261.8
34.05,6.983,88.7,5.137,262.0
