temperature,ph,dissolved_oxygen,pressure,agitator_speed
25.1,6.981,88.0,5.031,258.0
25.24,6.991,87.91,5.102,264.1
25.13,7.035,87.21,5.174,257.3
25.06,6.94,87.91,5.182,259.0
25.21,6.997,88.93,5.127,257.7
24.98,7.102,86.21,5.132,258.9
25.15,6.954,89.09,5.056,264.8
25.32,6.971,88.12,5.066,259.8
25.48,6.96,86.44,5.144,265.2
26.03,7.042,86.98,5.187,262.2
26.44,7.023,87.77,5.167,254.8
26.89,7.053,85.95,5.143,259.7
27.24,7.01,87.97,5.118,259.5
27.38,6.949,86.71,5.139,259.0
27.84,6.979,88.12,5.144,260.3
28.77,6.989,87.67,5.182,253.6
28.58,7.001,87.99,5.116,260.0
29.12,7.016,87.1,5.185,262.0
29.23,6.903,87.77,5.217,259.3
30.19,6.955,87.6,5.182,256.8
30.15,7.001,88.12,5.216,260.3
30.29,7.047,87.9,5.207,255.2
30.91,6.956,87.06,5.188,261.6
31.54,6.971,88.73,5.154,262.3
31.79,7.012,87.76,5.058,260.7
32.0,6.985,86.56,5.08,265.8
32.32,6.976,87.92,5.103,256.6
32.8,6.993,87.53,5.168,257.7
33.01,7.006,87.22,5.142,262.0
33.52,7.033,86.66,5.146,258.7
33.2,7.015,87.47,5.095,262.6
33.59,7.06,86.96,5.115,258.2
33.3,6.977,85.98,5.173,258.8
33.47,6.995,86.27,5.199,262.2
33.78,6.994,87.08,5.099,252.2
33.76,6.994,88.38,5.2,262.0
33.34,6.961,88.12,5.145,260.7
33.68,6.966,89.02,5.165,263.3
33.7,7.0,86.69,5.163,258.8
33.65,7.003,87.38,5.233,262.2
33.47,6.969,86.6,5.157,259.9
33.71,6.975,88.34,5.115,263.4
34.07,7.023,88.4,5.155,258.9
33.57,7.032,87.35,5.168,262.5
33.59,7.035,89.56,5.149,260.6
33.8,6.953,86.97,5.158,260.8
33.81,7.045,87.72,5.155,259.0
33.52,7.034,89.26,5.186,264.6
33.62,6.973,86.98,5.162,258.3
33.71,6.967,87.08,5.082,264.7
33.32,7.008,85.98,5.164,256.1
33.3,7.013,86.83,5.146,258.7
33.28,7.003,87.13,5.169,260.9
33.33,6.988,87.75,5.217,255.5
33.58,7.027,87.39,5.182,262.0
33.26,7.039,86.84,5.107,264.5
33.7,7.025,87.18,5.148,259.2
33.73,7.009,87.73,5.048,254.6
32.93,6.947,87.13,5.152,261.7
33.68,7.039,86.46,5.216,259.4
33.51,6.962,88.01,5.204,259.0
33.85,7.009,86.99,5.178,261.8
33.63,7.002,89.25,5.12,254.3
33.66,7.042,90.36,5.088,258.2
33.5,7.003,86.41,5.132,258.5
33.18,7.006,87.42,5.141,258.8
33.64,6.97,88.31,5.152,263.4
33.16,7.032,87.05,5.121,255.8
