temperature,ph,dissolved_oxygen,pressure,agitator_speed
24.92,6.937,89.4,5.163,260.4
24.95,7.019,86.14,5.201,267.4
24.89,7.025,86.8,5.087,259.9
24.88,6.984,87.54,5.141,263.4
25.12,7.013,87.7,5.121,259.2
25.02,6.999,87.13,5.184,264.5
24.82,7.014,86.77,5.113,258.5
25.04,7.013,87.92,5.151,262.6
25.08,6.987,87.93,5.179,263.8
25.21,7.049,87.11,5.21,258.9
24.86,7.009,87.16,5.12,257.1
24.98,6.97,86.09,5.135,258.6
24.8,6.973,87.21,5.146,263.1
25.1,6.993,86.58,5.142,256.2
25.05,6.981,88.35,5.078,262.1
25.07,6.986,86.97,5.138,251.5
24.99,6.974,83.47,5.12,248.1
25.08,6.969,80.89,5.127,237.6
24.99,7.009,79.53,5.145,230.1
25.09,6.998,75.98,5.191,228.2
24.77,6.992,74.28,5.114,216.6
24.73,7.017,70.32,5.151,207.6
25.07,7.037,67.82,5.127,200.3
25.02,6.991,67.5,5.132,191.5
25.01,6.963,63.48,5.194,189.4
24.91,7.056,63.01,5.124,187.3
24.85,7.005,60.28,5.129,174.1
24.91,7.012,57.43,5.174,169.0
25.18,6.993,59.71,5.196,176.7
25.11,6.964,60.46,5.191,169.2
25.2,7.007,61.2,5.185,167.9
24.96,6.993,59.62,5.129,174.1
25.02,7.015,60.37,5.247,177.3
24.97,7.001,59.82,5.108,177.3
25.04,6.995,62.77,5.143,175.4
25.08,7.024,59.5,5.184,176.4
24.82,6.964,60.22,5.208,175.2
25.33,7.062,58.6,5.171,173.8
25.07,6.969,60.87,5.092,173.9
25.02,6.997,59.18,5.093,175.1
25.06,7.005,59.8,5.151,169.8
25.12,7.01,60.25,5.156,166.1
24.84,7.002,61.01,5.121,174.1
25.16,6.962,60.08,5.116,175.8
25.22,7.011,61.29,5.097,177.8
24.65,6.969,60.05,5.148,169.2
24.93,7.038,62.81,5.18,176.2
24.92,6.98,59.34,5.128,172.4
24.94,7.016,58.75,5.192,173.0
24.95,7.028,61.08,5.209,170.1
24.7,6.993,60.02,5.153,166.8
24.99,7.033,61.1,5.079,167.2
24.97,7.01,60.11,5.186,169.3
25.19,6.988,62.96,5.2,178.9
25.02,7.068,60.19,5.213,172.1
25.24,6.963,58.91,5.126,173.3
24.87,7.053,59.35,5.15,176.2
25.09,7.022,58.64,5.154,170.6
24.88,7.009,60.28,5.269,174.2
24.89,7.021,59.95,5.177,168.2
24.6,7.037,60.43,5.076,168.9
24.82,7.02,58.55,5.11,176.2
24.91,7.01,61.96,5.207,167.9
25.09,7.02,61.1,5.211,168.3
24.89,6.967,60.13,5.15,176.2
25.12,7.039,57.83,5.141,165.8
25.02,7.01,60.1,5.111,167.0
24.74,7.048,60.72,5.121,176.4
24.76,7.027,59.13,5.049,170.3
24.74,7.009,58.82,5.089,171.1
