temperature,ph,dissolved_oxygen,pressure,agitator_speed
25.0,7.04,88.65,5.137,257.4
25.01,7.071,89.73,5.151,257.7
24.8,6.974,88.04,5.128,259.2
25.09,6.943,86.53,5.147,258.4
24.96,7.009,88.0,5.199,261.4
25.1,7.001,88.34,5.173,258.3
24.89,6.98,87.33,5.191,261.0
24.72,6.993,85.83,5.144,257.5
25.02,7.039,86.41,5.095,264.5
24.85,7.044,87.32,5.113,255.1
24.73,7.001,88.18,5.108,258.4
25.12,6.971,86.83,5.1,260.1
24.98,6.955,89.39,5.1,271.9
25.01,6.998,86.51,5.122,274.0
24.78,7.039,86.71,5.06,291.6
24.83,7.044,86.17,5.242,286.6
24.87,7.016,86.21,5.178,305.8
24.97,6.989,87.64,5.163,309.1
25.0,7.001,86.95,5.175,318.1
24.97,7.054,88.44,5.203,321.8
24.87,6.993,86.98,5.175,340.6
25.25,7.04,86.32,5.193,344.5
25.22,7.018,88.49,5.179,345.9
25.35,7.027,87.06,5.226,336.7
25.13,7.053,87.94,5.123,338.4
24.89,7.033,87.65,5.211,345.4
24.97,6.979,87.26,5.16,336.7
25.16,7.039,85.64,5.111,337.1
25.14,6.972,87.78,5.107,342.0
24.94,6.983,87.85,5.101,343.8
25.04,6.997,87.01,5.133,342.8
24.78,7.076,87.09,5.127,337.6
24.97,6.968,87.46,5.174,343.3
24.9,7.013,87.94,5.161,341.0
25.0,6.966,87.28,5.192,339.3
25.18,6.99,87.37,5.061,344.0
24.96,6.965,86.93,5.176,342.0
25.1,7.006,87.64,5.261,348.1
25.04,6.998,87.26,5.17,336.9
25.17,7.002,88.37,5.177,344.2
25.08,7.021,86.95,5.171,333.2
25.02,6.947,88.12,5.188,345.4
25.18,6.935,87.24,5.11,338.0
24.8,6.967,88.14,5.156,340.1
25.14,7.061,88.11,5.155,340.8
24.69,6.969,87.98,5.184,338.2
25.1,7.015,87.38,5.106,338.6
24.97,7.036,85.69,5.174,338.7
25.3,6.985,87.63,5.202,342.0
25.12,7.001,87.15,5.102,334.2
25.08,7.006,87.79,5.06,338.1
25.3,6.997,87.4,5.146,337.6
24.86,7.047,89.0,5.159,336.7
25.16,6.99,88.51,5.16,345.1
24.81,7.015,88.8,5.151,341.1
25.27,6.956,87.68,5.126,340.8
25.24,6.993,88.68,5.137,336.6
25.08,7.014,86.03,5.156,337.3
