temperature,ph,dissolved_oxygen,pressure,agitator_speed
25.19,7.04,88.08,5.116,259.7
25.1,7.018,87.77,5.179,265.6
25.04,7.018,89.11,5.101,262.1
25.08,7.03,87.44,5.097,256.7
24.97,6.992,87.25,5.06,257.4
25.04,6.985,85.13,5.181,259.3
25.01,6.965,89.62,5.139,253.6
25.03,7.011,87.24,5.049,264.0
25.02,7.032,86.99,5.116,260.4
24.91,6.969,86.92,5.237,260.9
25.07,6.943,87.86,5.207,262.9
25.2,6.952,86.39,5.175,261.7
25.31,7.03,87.23,5.122,259.8
24.84,6.957,88.31,5.291,256.6
24.96,7.029,87.11,5.477,261.8
25.17,7.039,87.31,5.587,260.4
25.11,6.987,87.15,5.85,261.1
24.95,7.019,87.74,5.978,259.9
25.17,7.026,87.12,6.05,262.6
25.06,7.031,87.33,6.263,259.8
24.97,7.012,87.13,6.326,264.0
24.93,7.041,87.65,6.406,260.7
24.94,6.991,86.37,6.662,265.3
25.16,6.995,86.99,6.859,261.4
24.85,6.969,88.29,6.859,258.2
24.97,6.958,87.48,6.796,258.5
25.21,7.021,88.52,6.793,262.3
24.91,7.024,88.5,6.778,265.8
25.0,6.99,86.97,6.907,262.0
25.04,7.045,87.78,6.9,259.0
25.08,6.988,88.4,6.61,260.9
24.9,6.979,89.32,6.777,257.1
25.0,7.009,87.68,6.714,261.0
25.06,7.067,87.39,6.839,260.1
25.12,6.977,88.08,6.742,254.5
25.26,6.973,89.26,6.805,258.4
25.34,6.969,88.22,6.856,257.7
25.01,6.994,85.69,6.886,256.2
24.81,7.022,87.94,6.755,260.1
24.84,7.023,87.08,6.732,259.1
25.11,7.028,87.4,6.709,264.9
24.9,7.025,88.15,6.789,260.2
25.2,6.985,87.03,6.882,257.3
24.78,7.03,86.83,6.716,259.6
25.01,7.007,87.42,6.696,262.4
25.07,7.002,87.89,6.778,257.1
24.9,7.045,87.71,6.75,257.8
24.95,6.999,88.13,6.788,261.8
25.32,7.012,86.85,6.801,253.1
25.0,7.048,88.43,6.796,260.6
25.12,6.996,87.81,6.788,263.1
25.17,7.027,88.7,6.656,263.5
24.81,7.02,87.19,6.855,257.6
24.97,6.977,87.15,6.764,259.6
24.95,7.025,85.01,6.829,263.3
24.98,6.975,86.21,6.856,256.8
25.1,7.039,87.15,6.822,262.7
25.2,7.0,88.16,6.753,261.5
24.9,6.996,88.05,6.887,265.4
25.14,7.014,87.39,6.704,256.3
25.11,7.072,87.33,6.817,262.4
25.04,6.989,88.63,6.692,257.8
