temperature,ph,dissolved_oxygen,pressure,agitator_speed
24.97,7.033,87.15,5.143,252.5
24.99,6.966,87.13,5.164,256.8
24.95,7.057,88.34,5.241,262.8
24.87,6.989,87.47,5.19,264.6
24.97,6.959,88.34,5.211,266.1
24.98,6.984,86.75,5.124,260.8
25.38,7.02,86.87,5.18,251.5
25.04,7.039,86.87,5.163,256.4
24.84,6.957,87.37,5.136,256.1
25.04,6.967,85.87,5.161,256.9
24.74,7.007,87.53,5.103,256.7
25.12,6.955,87.54,5.182,257.5
24.91,6.99,87.98,5.057,257.8
24.92,7.019,87.82,5.028,265.1
24.74,6.973,88.07,4.901,262.7
25.2,6.949,88.17,4.765,260.7
25.23,6.983,87.87,4.598,265.9
24.91,7.011,87.63,4.685,261.3
24.76,7.0,87.91,4.491,263.1
24.86,7.009,87.83,4.393,254.5
25.32,7.055,88.07,4.286,256.1
24.81,7.004,87.39,4.127,261.6
25.2,7.021,88.02,4.067,257.8
24.76,6.955,87.21,3.873,258.2
25.06,7.075,87.43,4.042,262.4
25.04,6.99,86.99,3.991,259.9
25.16,6.969,87.76,3.873,258.5
25.09,6.989,87.78,3.95,262.7
25.2,6.987,86.43,3.787,256.6
24.91,6.97,86.93,3.915,261.1
25.1,6.973,87.58,3.88,253.3
25.0,7.079,87.67,3.854,262.9
24.86,6.971,86.7,4.038,259.9
25.01,7.081,87.73,3.904,262.7
24.85,6.981,86.77,3.985,258.7
24.97,6.987,86.31,3.896,255.3
25.05,7.002,87.94,3.867,273.1
24.97,7.03,86.53,4.022,261.4
24.77,7.035,87.75,3.89,258.2
25.08,7.036,89.2,3.866,256.4
25.02,6.962,88.51,3.913,258.0
24.79,7.01,86.89,3.814,257.0
24.66,7.032,87.05,3.969,254.3
25.16,7.029,86.44,3.87,256.3
24.97,6.974,88.25,3.933,261.1
24.99,6.986,87.28,4.0,260.8
24.95,6.98,86.61,3.858,255.3
25.02,7.013,86.14,3.769,256.4
25.24,6.991,87.4,3.939,258.0
24.76,7.071,87.33,3.879,260.8
24.88,6.972,87.22,3.864,256.7
24.87,7.013,87.53,3.811,261.5
25.03,6.982,88.04,3.888,262.1
24.98,6.965,86.15,3.92,262.8
25.22,6.974,87.58,3.873,262.7
24.91,7.017,88.93,3.784,261.1
25.02,6.994,87.5,3.994,261.3
25.06,6.958,86.42,3.917,261.5
25.03,6.97,86.76,3.958,264.3
24.99,6.973,87.97,3.984,257.5
24.9,6.989,87.64,3.868,258.3
25.05,7.004,87.92,3.934,265.1
