temperature,ph,dissolved_oxygen,pressure,agitator_speed
25.14,6.988,87.76,5.116,257.6
25.01,6.989,87.42,5.112,261.3
25.27,7.014,87.89,5.135,257.5
24.86,6.964,87.98,5.129,257.9
24.88,7.027,89.35,5.145,260.6
24.84,7.07,86.29,5.174,258.7
24.91,7.011,86.0,5.179,257.3
25.0,7.008,87.88,5.204,253.4
25.01,6.998,87.45,5.177,258.0
25.02,6.967,87.57,5.109,257.3
24.95,7.0,88.29,5.131,261.8
24.9,7.078,88.83,5.12,260.1
25.34,6.984,89.01,5.229,261.1
25.06,7.036,89.21,5.1,257.6
24.96,6.976,85.57,5.158,260.3
25.2,7.008,83.0,5.152,260.4
25.08,7.006,81.23,5.181,262.6
24.82,7.011,78.24,5.121,262.8
24.82,7.011,75.65,5.08,260.0
25.12,7.036,73.54,5.249,256.5
25.08,6.961,71.22,5.109,260.8
25.14,7.007,69.56,5.174,261.2
25.08,7.002,66.61,5.134,258.8
24.77,7.017,65.35,5.055,255.7
24.94,6.99,62.61,5.161,263.6
25.21,7.008,61.59,5.165,253.6
25.03,7.035,62.11,5.202,260.2
24.9,6.958,61.97,5.236,254.4
25.13,6.983,60.69,5.24,263.5
24.79,6.942,60.35,5.172,261.4
25.01,6.976,61.07,5.101,258.2
24.92,7.038,61.7,5.194,260.1
24.7,6.993,60.06,5.072,259.5
25.04,6.937,62.72,5.056,258.5
25.16,6.945,61.77,5.15,258.8
24.97,6.984,62.53,5.114,262.6
24.85,6.931,63.13,5.075,262.2
25.16,6.976,62.75,5.197,261.7
25.3,6.985,62.22,5.13,261.7
24.87,6.981,63.02,5.133,262.1
25.16,6.977,60.76,5.166,261.2
25.03,7.027,62.2,5.16,259.4
24.92,7.059,62.39,5.206,264.1
24.85,6.98,62.55,5.143,262.6
25.2,6.996,59.74,5.194,258.3
25.07,6.985,61.95,5.153,259.9
24.97,7.005,62.46,5.249,262.9
25.21,6.995,61.72,5.166,259.8
25.18,6.935,61.17,5.178,256.7
25.16,6.988,61.55,5.169,261.3
25.06,7.007,61.45,5.151,258.9
24.88,7.011,61.88,5.11,257.7
25.0,6.993,62.97,5.258,257.2
25.03,7.034,62.71,5.218,259.2
25.21,6.988,63.43,5.157,252.0
24.85,7.013,60.44,5.186,262.4
25.01,6.963,61.62,5.14,258.7
24.99,7.048,62.23,5.121,261.1
24.94,7.003,60.12,5.056,261.9
24.71,6.966,59.67,5.128,260.7
25.01,7.004,62.14,5.174,262.6
25.22,6.981,62.66,5.213,263.5
24.99,7.063,62.14,5.155,261.5
24.84,7.027,60.68,5.139,257.8
24.96,6.989,63.74,5.098,259.0
24.94,7.007,63.12,5.24,265.6
